name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
FAT.photolab OHG ,"Erweiterung einer Betriebsstätte eines fotographischen Labors in 
23923 Selmsdorf, Ringstr. (Gewerbegebiet Herrenwiekers Kamp), 
Landkreis Nordwestmecklenburg",2007,,270200
MOD Offsetdruck Parchim GmbH ,"Erwerb einer stillgelegten Betriebsstätte zur Herstellung von 
Druckerzeugnissen in 19370 Parchim, Burgdamm 8, Landkreis 
Parchim",2007,,266400
Fleischmannschaft AG ,"Errichtung einer Betriebsstätte zur Herstellung von 
Gewürzmischungen in 17321 Löcknitz, Werksiedlung 15, 
Landkreis Uecker-Randow",2007,,249200
"MA-BA-TECH GmbH HNP 1. Immobilien GmbH 
& Co. KG","Erweiterung einer Betriebsstätte zur Herstellung von Teilen und 
Zubehör für Kraftwagen in 19370 Parchim, Ludwigsluster 
Chaussee 5, Landkreis Parchim",2007,,247700
Metallpresswerk München GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von 
Gesenkschmiedeteilen aus NE-Metallen in 18502 Grimmen, Zum 
Rauhen Berg 33c, Landkreis Nordvorpommern",2007,,240300
"Wasser- und Abwasserzweckverband 
Demmin/Altentreptow","Ortsentwässerung Altentreptow, Schmutzwasserkanalisation Sankt
Georg und Grüner Gang/Holländergang",2007,,217714.9
"Dr. Kathrin Hülsbergen und Heinz Hoinkis in GbR 
(Besitzgesell.) Seehotel Düne GmbH 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18181 Seeheilbad Graal-Müritz, Strandstraße 64, Landkreis Bad 
Doberan",2007,,209500
Hanse Metallbau GmbH & Co. KG ,"Errichtung einer Betriebsstätte des Metallbaus in 18108 
Elmenhorst, Gewerbeallee 11, Landkreis Bad Doberan",2007,,190500
"Peene Stahl, Stahl- und Rohrleitungsbau GmbH",“Kombi-Maschine für Roh- und Reststoffaufbereitung“,2007,,185330
Gohs GmbH Ribnitz-Damgarten,"Erwerb einer Betriebsstätte zur Erbringung von wirtschaftlichen 
Dienstleistungen für Unternehmen und Privatpersonen in 18311 
Ribnitz-Damgarten, Beim Handweiser 17, Landkreis 
Nordvorpommern",2007,,172200
"EDEL - STAHL - VERARBEITUNGS- 
GESELLSCHAFT mbH Stralsund","Erweiterung einer Betriebsstätte zur Be- und Verarbeitung von 
Metallen aller Art in 18439 Stralsund, Ziegelstraße 8, kreisfreie 
Stadt Stralsund",2007,,167500
Thomas Richter ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Pension) in 
18556 Breege, Dorfstr. 46, Landkreis Rügen",2007,,161400
Johannes Borngässer ,"Errichtung einer Betriebstätte zur Herstellung von Waagen in 
19374 Grebbin, Schulstr. 3, Landkreis Parchim",2007,,142200
Susanne Frick ,"Errichtung einer Betriebsstätte ""Lackiererei"" in 19061 Schwerin, 
Rogahner Straße. 64, Landeshauptstadt Schwerin",2007,,123900
Hotel Gutshaus Stellshagen Cordes KG ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
23948 Stellshagen, Lundenstraße 1, Landkreis 
Nordwestmecklenburg",2007,,107100
"Hadrian GmbH & Co. Metall- und 
Kunststofftechnik KG","Erweiterung einer Betriebsstätte zur Herstellung von Eisen-, Blech- 
und Metall- sowie von Kunststoffwaren in 17438 Wolgast, 
Nexöstraße 8, Landkreis Ostvorpommern (A-Fördergebiet)",2007,,106700
Manfred Peter ,"Erweiterung einer Betriebsstätte zur Herstellung von nachrichten-
technischen Anlagen und Netzwerken in 17389 Hansestadt 
Anklam, Rudolf-Diesel-Str. 8, Landkreis Ostvorpommern (A-
Fördergebiet)",2007,,106200
"Susanne Masson-Wawer e.K. (Besitzgesell.) 
Masson-Wawer Wintergarten GmbH 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte zur Produktion und Vertrieb von 
Wintergärten in 18442 Groß Lüdershagen, Robert-Koch-Str. 21, 
Landkreis Nordvorpommern",2007,,103400
Müritz-Wasser-/Abwasserzweckverband,"Ortsentwässerung Waren, Schmutzwasserkanalisation 
Mühlenstraße und R.-Wossidlo-Straße",2007,,91122.29
Stadt Torgelow,"Erneuerung der Abwasserentsorgungssysteme der Stadt 
Torgelow, Teilabschnitte Greifenstraße/Im Marzenbruch/Langer 
Kamp",2007,,88000
Kartoffel-Gemüse-Service Plate GmbH ,"Erweiterung einer Betriebsstätte zur Verarbeitung von Kartoffeln 
und Gemüse in 19086 Plate, Sukower Str. 48, Landkreis Parchim",2007,,80600
"Marianne und Sven Lohße in GbR Hotel - 
Restaurant ""Blinkfüer""","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18347 Ostseebad Dierhagen, An der Schwedenschanze 20, 
Landkreis Nordvorpommern",2007,,77100
"Ing. Siegmund Henning Anlagentechnik GmbH - 
SHA GmbH","Erweiterung einer Betriebsstätte zur Herstellung von Komponenten 
und kompletten Systemen des Maschinen- und Anlagenbaus in 
19288 Warlow, Ludwigsluster Str. 20, Landkreis Ludwigslust",2007,,75200
"AFZ Aus- und Fortbildungszentrum Schifffahrt 
und Hafen GmbH",Evakuierungssystem für die Kreuzschifffahrt,2007,,74459
"Norditec - Antriebstechnik GmbH 
(Betriebsgesell.) Voigt GmbH & Co. KG 
(Besitzgesellschaft)","Erweiterung einer Betriebsstätte zur Herstellung von Produkten der
Zahnriementechnik in 19258 Zahrensdorf/ Kiekut, Landkreis 
Ludwigslust",2007,,71500
WasserZweckVerband Malchin/Stavenhagen,"Ortsentwässerung Malchin, Schmutzwasserkanalisation 
Bürgermeister-Faull-Str. und Am Rosengarten",2007,,68301.2
"Gitta Lange (Besitzgesell.) Hotel ""Wilhelmshof"" 
GmbH & Co. KG (Betriebsgesell.)","Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel 
""Wilhelmshof"") in 18311 Ribnitz-Damgarten, Lange Straße 22, 
Landkreis Nordvorpommern",2007,,64300
Tischlerei Losehand GmbH ,"Erweiterung einer Betriebsstätte / Tischlerei in 17192 Waren, 
Siegfried-Marcus-Straße 8, Landkreis Müritz",2007,,58000
"Wilhelm Czasch Metallbearbeitung und 
Präzisionsmechanik GmbH","Errichtung einer Betriebsstätte zur Metallbearbeitung in 17033 
Neubrandenburg, Werner-von-Siemens-Str. 8, kreisfreie Stadt",2007,,51800
"Kneipp Landesverband Mecklenburg-
Vorpommern e. V.",Kneippiade 2007,2007,,20000
Dagmar Schinkmann ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(""Ostseehotel Wustrow"") in 18347 Ostseebad Wustrow, 
Fischländer Weg 35, Landkreis Nordvorpommern",2007,,19800
"SPM - New Service and Projektmanagement 
GmbH","Errichtung einer Betriebsstätte zur Erbringung von 
Dienstleistungen auf dem Programierungssektor in 19055 
Schwerin, Puschkinstr. 10, kreisfreie Landeshauptstadt (B-
Fördergebiet)",2007,,15800
Schmal GmbH & Co. Verpackungen KG ,"Erweiterung einer Betriebsstätte zur Entwicklung und Herstellung 
von Verpackungen aller Art, insbesondere aus Holz in 19246 
Valluhn, Am Heisterbusch 20, Landkreis Ludwigslust",2007,,13100
Andreas Manski Reitsportfachgeschäft,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
Bootsbau Rügen GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
Cramer Boote GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
Franke Engineering GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
HEYMANN - Moden GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
JATEL GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
NOT KNOWN _ - Please look up on original,NOT KNOWN _ - Please look up on original,2007,,6000
MFG Mecklenburger Freizeitmöbel GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
Rudolf Thielmann Industrievertretung,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
SCHULTE Lebensmitteltechnik GmbH & Co. KG,Förderung der Teilnahme an Messen und Ausstellungen,2007,,6000
A.S.P. Aufbau Service Petersen GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2007,,5670
RoweMed AG Medical 4 Life,Förderung der Teilnahme an Messen und Ausstellungen,2007,,5670
"Ing. Siegmund Henning Anlagentechnik GmbH 
SHA GmbH",Förderung der Teilnahme an Messen und Ausstellungen,2007,,5580
Rotaria Energie- und Umwelttechnik GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2007,,5360
AIB GmbH Güstrow ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,5250
SBM Boote & Motoren GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,5120
"MAPLAN Mascinenfabrik & Anl. f. 
Kunststofftechnik GmbH",Förderung der Teilnahme an Messen und Ausstellungen,2007,,4870
Klappex Fenster GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,4800
VARIOVAC PS SystemPack GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,4580
"Korb GmbH Seebad Heringsdorf & Co. Betriebs 
KG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,4120
Lothar Schritt Bootswerft & Bootsmotorenservice,Förderung der Teilnahme an Messen und Ausstellungen,2007,,4080
Stralsunder Möbelwerke GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,4050
VARIOVAC PS SystemPack GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,4000
"ROSOMA - GmbH Rostocker Sondermaschinen- 
und Anlagenbau",Förderung der Teilnahme an Messen und Ausstellungen,2007,,3790
ARTOSS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3750
Bernd Stockmann KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3720
PLANET intelligent Systems GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3680
"Trebing & Himstedt Prozeßautomation GmbH & 
Co. KG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,3680
Ivica Saric IVICA Exclusiv-Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3620
"Wolfram und Andreas Höhne CAMPMOBIL 
Schwerin GbR",Förderung der Teilnahme an Messen und Ausstellungen,2007,,3560
Cramer Boote GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3520
GuG Computer GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3520
"MeKuma Mecklenburgische Kunststoffmaschinen 
GmbH",Förderung der Teilnahme an Messen und Ausstellungen,2007,,3380
"Woterfitz Wasserfreizeit Holtkamp + Partner 
OHG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,3270
Karlhans Lehmann KG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3250
Karin Ruppert HOKU,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3070
Karlhans Lehmann KG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3070
Bootsbau Rügen GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3060
BIONAS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,3030
EasyBrowse GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2980
"Wieker Boote GmbH Bootsbau, Service u. 
Vertrieb",Förderung der Teilnahme an Messen und Ausstellungen,2007,,2940
Com In GmbH & Co. KG Consulting + Solutions,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2920
"ROSOMA - GmbH Rostocker Sondermaschinen- 
und Anlagenbau",Förderung der Teilnahme an Messen und Ausstellungen,2007,,2920
Sabik Informationssysteme GmbH,"“Internationale Patentanmeldung - Piezo miro-pump based 
methanol mixer assembly for DMFC “",2007,,2899.5
BIOSERV Diagnostics GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2830
BluePoint Medical GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2830
"MeWa Waagenservice und Getreidetechnik 
GmbH",Förderung der Teilnahme an Messen und Ausstellungen,2007,,2820
Andreas Manski Reitsportfachgeschäft,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2800
"Ing. Siegmund Henning Anlagentechnik GmbH 
SHA GmbH",Förderung der Teilnahme an Messen und Ausstellungen,2007,,2740
BIONAS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2730
Human Med AG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2700
Technus KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2610
Human Med AG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2520
GreenLife GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2510
Hubert Schwarz Galerie Schwarz,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2490
Yamaton Paper GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2480
Tackotel Hotelmanagement GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2440
"Yachtausrüster Wendel & Rados GmbH & Co. 
KG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,2390
SBM Boote & Motoren GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2360
Nicolay Mausz flying dog software,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2260
Knut Hartwich Galerie Hartwich,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2250
Haveltourist GmbH & Co. KG Campingplätze u. ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2230
Gummif. Lubeca GmbH & Co. Mecklenburg KG,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2220
Andreas Manski Reitsportfachgeschäft,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2210
FORUS Forst- und Spezialmaschinen GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2130
Wolfgang Helinski Raumausstattung,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2110
Autogas Mulsow GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2100
FOODLOGISTIG Fleischereimaschinen GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2070
Jürgen Schulze Metallbau,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2070
S-Tec Gesellschaft fu_r Archivierungstechnik mbH,Fo_rderung der Teilnahme an Messen und Ausstellungen,2007,,2020
Uwe Stieblich e.K. Stahlbau Stieblich,Förderung der Teilnahme an Messen und Ausstellungen,2007,,2010
Clement Yacht Harbour Systems GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1980
Hotel Heidehof Ostseeblick GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1950
HNP Mikrosysteme GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1890
balticFuelCells GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1880
Klemann & Kreutzfeldt GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1840
"Woterfitz Wasserfreizeit Holtkamp + Partner 
OHG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1800
"Wasser-Service-Center ""Röbel"" GmbH ",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1770
Jürgen Schulze Metallbau,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1740
Holger Schuldt FLYING BIRD - DRINKS AND ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1700
Bootsbau Schubert GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1660
Aerolightcenter Müritz GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1650
Surfhaus GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1650
Henkel Beiz- und Elektropoliertechnik GmbH & ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1610
Klappex Fenster GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1600
SEETEL Hotel GmbH & Co. Betriebs-KG,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1580
Christian Schreiber MERLIN Gastronomie-,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1530
"Wieker Boote GmbH Bootsbau, Service u. 
Vertrieb",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1530
"Maschinen- u. Antriebstechnik Maschinenbau 
GmbH & Co. KG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1520
Timkid GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1510
PLANET intelligent Systems GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1500
Thomas Meister MoLe Bootsbau,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1500
Crammy GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1480
Erich-Alexander Hinz e. K. Hotel Kurhaus am ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1470
Baar Bau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1430
Baar Bau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1430
SilicANN Technologies GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1420
AIRSENSE Analytics GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1400
"Wieker Boote GmbH Bootsbau, Service u. 
Vertrieb",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1400
Knut Hartwich Galerie Hartwich,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1380
MOLA Yachting GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1380
Thomas Meister MoLe Bootsbau,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1370
Hubert Schwarz Galerie Schwarz,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1360
Jörg Starke BÜRO und CO!,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1320
Thomas Schulz Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1320
"ROSOMA - GmbH Rostocker Sondermaschinen- 
und Anlagenbau",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1310
ARTOSS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1300
Bootsbau Schubert GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1290
DATAreform GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1280
DATAreform GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1250
Nordik GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1250
PLANET IC GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1250
HNP Mikrosysteme GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1220
Timo Weisbrich Ferienpark Heidenholz,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1220
CSK Software GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1200
Human Med AG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1200
Karlhans Lehmann KG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1200
Schweriner Apothekenrechenzentrum GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1200
SilicANN Technologies GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1200
Cornpack GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1180
Henkel Beiz- und Elektropoliertechnik GmbH & ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1160
Reha - Technik Möller GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1160
Detlev Löll ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1150
luratec AG luft + raumfahrt technologie,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1130
Baar Bau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1120
Bernd Schaefer e.K. ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1120
Karin Ruppert HOKU,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1120
Carstens GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1110
MOLA Yachting GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1110
"Ronny Weisbrich Ferienanlage ""Zum See""",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1110
Peter Mittelstädt Mineralmarmor,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1100
"Woterfitz Wasserfreizeit Holtkamp + Partner 
OHG",Förderung der Teilnahme an Messen und Ausstellungen,2007,,1100
Bootsbau Schubert GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1080
Crammy GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1060
Christian Herlt HERLT SonnenEnergieSysteme,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1050
Cornpack GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1050
EasyBrowse GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1050
Erich-Alexander Hinz e. K. Hotel Kurhaus am ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1050
H.S.W. Ing.büro für Angewandte und ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1050
VellKreativ GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1050
Haff-Dichtungen GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1040
Peter Mittelstädt Mineralmarmor,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1040
Wilfried Kucharczyk e.K. Präzisionsdrehteile,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1040
Bernd Düwel Industrievertretung Nord,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1030
Bernd Schaefer e.K. ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1020
Carstens GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1010
Cytocentrics AG ,Förderung der Teilnahme an Messen und Ausstellungen,2007,,1000
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin",Neubau von Landesstraßen,2007,,
